Unidade de Conservação ,NGI,GR,Incêndio (ha),Queima prescrita (ha),Queima controlada (ha),Aceiro (ha),Fogo natural (ha),Indígenas isolados (ha) ,Total Prevenção (ha) ,Total Combate (ha) ,Área TOTAL (ha),Área UC (ha),% de AAF na UC
PARNA das Nascentes do Rio Parnaíba,-,GR 2 - NORDESTE,"9.612,05","0,00","187,28","0,00","0,00","0,00","187,28","9.612,05","9.799,34","749.769,75","1,31"
PARNA das Sempre-Vivas,-,GR 4 - SUDESTE,"5.129,66","0,00","0,00","0,00","0,00","0,00","0,00","5.129,66","5.129,66","124.155,09","4,13"
PARNA da Tijuca,-,GR 4 - SUDESTE,"14,23","0,00","0,00","0,00","0,00","0,00","0,00","14,23","14,23","3.958,48","0,36"
PARNA de Aparados da Serra,Núcleo de Gestão Integrada - ICMBio Aparados da Serra,GR 5 - SUL,"371,77","0,00","0,00","0,00","0,00","0,00","0,00","371,77","371,77","12.973,82","2,87"
PARNA de Brasília,Núcleo de Gestão Integrada - ICMBio Brasília-Contagem,GR 3 - CENTRO-OESTE,"2.365,46","1.298,18","0,00","182,39","0,00","0,00","1.480,56","2.365,46","3.846,02","42.355,24","9,08"
PARNA de Ilha Grande,Núcleo de Gestão Integrada - ICMBio Rio Paraná,GR 5 - SUL,"52.136,89","3.549,94","0,00","0,00","0,00","0,00","3.549,94","52.136,89","55.686,82","76.137,65","73,14"
PARNA de Itatiaia,-,GR 4 - SUDESTE,"312,53","0,00","0,00","0,00","0,00","0,00","0,00","312,53","312,53","28.085,85","1,11"
PARNA de Pacaás Novos,-,GR 1 - NORTE,"54.994,12","0,00","0,00","0,00","0,00","17.223,70","17.223,70","54.994,12","72.217,82","706.112,19","10,23"
PARNA de São Joaquim,-,GR 5 - SUL,"456,42","0,00","0,00","0,00","0,00","0,00","0,00","456,42","456,42","49.672,02","0,92"
PARNA do Araguaia,-,GR 3 - CENTRO-OESTE,"414.636,57","18.030,71","32.900,27","0,00","0,00","0,00","50.930,98","414.636,57","465.567,55","555.501,38","83,81"
PARNA do Caparaó,-,GR 4 - SUDESTE,"17,11","0,00","0,00","0,00","0,00","0,00","0,00","17,11","17,11","31.763,07","0,05"
